Jurisdiction,MN,SigDiff,SigSymbol,AB,AP
DoDEA,235,19,▲,80,50
Massachusetts,227,11,▲,70,43
Wyoming,225,9,▲,71,38
Florida,225,9,▲,71,39
Colorado,223,7,▲,68,38
New Jersey,223,7,▲,67,38
New Hampshire,223,6,▲,67,37
Utah,221,5,▲,67,37
Connecticut,219,3,♦,64,35
Pennsylvania,219,3,♦,64,34
Hawaii,219,3,♦,64,35
Montana,219,3,♦,65,34
Nebraska,219,3,♦,65,34
Ohio,219,2,♦,65,35
South Dakota,218,2,♦,65,32
Iowa,218,2,♦,64,33
Illinois,218,2,♦,62,33
North Dakota,218,1,♦,65,31
Wisconsin,217,1,♦,63,33
Indiana,217,1,♦,63,33
Rhode Island,217,1,♦,62,34
Mississippi,217,1,♦,63,31
Vermont,217,1,♦,62,34
Washington,217,1,♦,61,34
Kentucky,217,#,♦,62,31
South Carolina,216,#,♦,61,32
North Carolina,216,#,♦,61,32
National public,216,†,,61,32
Georgia,216,#,♦,61,32
Arizona,215,-1,♦,61,31
Minnesota,215,-1,♦,61,32
Idaho,215,-1,♦,61,32
Kansas,215,-1,♦,60,31
California,214,-2,♦,58,31
Texas,214,-2,♦,58,30
Virginia,214,-2,♦,60,32
Tennessee,214,-2,♦,59,30
New York,214,-3,♦,58,30
Missouri,213,-3,♦,60,30
Alabama,213,-3,♦,59,28
Maine,213,-3,♦,60,29
Maryland,212,-4,♦,56,31
Louisiana,212,-4,♦,57,28
Arkansas,212,-4,♦,58,30
Michigan,212,-4,♦,58,28
Nevada,212,-5,▼,57,27
Oregon,210,-6,▼,56,28
Delaware,208,-8,▼,53,25
Oklahoma,208,-8,▼,55,24
District of Columbia,207,-9,▼,50,26
West Virginia,205,-11,▼,52,22
Alaska,204,-12,▼,51,24
New Mexico,202,-14,▼,48,21
Puerto Rico,—,†,,—,—
