"Title: Distribution of State Expenditures (in millions) | KFF"
"Timeframe: SFY 2021"
"Location","Elementary & Secondary Education","Higher Education","Public Assistance","Medicaid","Corrections","Transportation","All Other","Total",Footnotes
"United States","$378685","$186524","$11522","$227099","$57361","$112261","$558654","$1532110","1"
"Alabama","$5234","$5013","$0","$1724","$756","$641","$5606","$18974"
"Alaska","$1292","$413","$64","$532","$359","$617","$3540","$6817"
"Arizona","$5786","$5998","$0","$3073","$1327","$1929","$31792","$49904"
"Arkansas","$3105","$3785","$189","$1570","$516","$1202","$8309","$18676"
"California","$62417","$17395","$6531","$38111","$15452","$12696","$67697","$220299"
"Colorado","$5092","$2300","$50","$4467","$890","$1348","$6741","$20888"
"Connecticut","$3268","$3335","$371","$4555","$687","$1754","$11800","$25771"
"Delaware","$2416","$384","$17","$756","$373","$729","$4339","$9015"
"District of Columbia","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Florida","$13751","$8166","$102","$10588","$3016","$4910","$15878","$56411"
"Georgia","$10723","$9850","$0","$3591","$1696","$2547","$10044","$38451"
"Hawaii","$1903","$1181","$54","$873","$288","$1146","$12494","$17939"
"Idaho","$2026","$745","$16","$745","$331","$373","$1268","$5504"
"Illinois","$9766","$2021","$134","$9191","$1431","$5329","$59038","$86909"
"Indiana","$9352","$2017","$20","$3786","$835","$1827","$6526","$24363"
"Iowa","$3587","$5969","$53","$2323","$466","$1660","$4044","$18102"
"Kansas","$5025","$2461","$0","$1424","$406","$1142","$4027","$14485"
"Kentucky","$4814","$6504","$50","$2643","$618","$1477","$4793","$20899"
"Louisiana","$4228","$2801","$0","$3129","$562","$619","$6498","$17838"
"Maine","$1497","$331","$144","$1041","$128","$368","$2817","$6326"
"Maryland","$7466","$5445","$130","$3982","$1526","$3664","$9885","$32098"
"Massachusetts","$7678","$1343","$557","$9423","$1558","$2552","$21455","$44566"
"Michigan","$13617","$2249","$105","$5567","$1926","$3809","$10448","$37721"
"Minnesota","$10002","$1800","$191","$5377","$660","$3220","$8048","$29298"
"Mississippi","$2564","$3645","$24","$1036","$352","$543","$2731","$10895"
"Missouri","$5023","$979","$66","$5325","$635","$2090","$4179","$18297"
"Montana","$923","$675","$11","$461","$203","$478","$2436","$5187"
"Nebraska","$1359","$2499","$11","$1047","$416","$527","$4127","$9986"
"Nevada","$2078","$936","$22","$1014","$350","$389","$5321","$10110"
"New Hampshire","$1152","$147","$55","$902","$138","$263","$1263","$3920"
"New Jersey","$15626","$6435","$152","$5624","$1101","$2999","$20257","$52194"
"New Mexico","$3245","$2378","$15","$1247","$427","$401","$4078","$11792"
"New York","$28723","$10354","$1268","$21466","$1373","$5609","$38991","$107784"
"North Carolina","$10920","$6576","$116","$5494","$1414","$3716","$7396","$35632"
"North Dakota","$1106","$1312","$4","$442","$57","$382","$2236","$5539"
"Ohio","$9998","$2707","$144","$8515","$2071","$1733","$20687","$45855"
"Oklahoma","$3303","$4520","$84","$1821","$603","$931","$5307","$16569"
"Oregon","$5841","$2113","$61","$2638","$1186","$2717","$29757","$44313"
"Pennsylvania","$13515","$1824","$239","$14296","$1627","$9368","$18643","$59512"
"Rhode Island","$1317","$1155","$27","$1012","$115","$262","$2533","$6422"
"South Carolina","$4390","$5170","$34","$1797","$684","$1260","$4575","$17910"
"South Dakota","$596","$796","$9","$322","$63","$397","$1040","$3223"
"Tennessee","$5474","$4818","$1","$4290","$828","$564","$5524","$21499"
"Texas","$28247","$12730","$37","$10833","$2248","$8298","$1411","$63805"
"Utah","$4200","$2431","$19","$1143","$811","$1315","$3542","$13461"
"Vermont","$1939","$125","$91","$590","$128","$247","$854","$3974"
"Virginia","$7824","$6269","$81","$5678","$1476","$7006","$17430","$45764"
"Washington","$14217","$7167","$58","$5155","$1328","$1106","$10167","$39198"
"West Virginia","$2131","$1770","$28","$783","$444","$1268","$5155","$11579"
"Wisconsin","$8016","$5121","$87","$5410","$1342","$2195","$19611","$41782"
